District Code,District Name,Population,Increase (%),Sex Ratio,Literacy (%),Density
1,Bangalore,9621551,47.18,916,87.67,4381
2,Belgaum,4779661,13.41,973,73.48,356
3,Mysore,3001127,13.63,985,72.79,476
4,Tumkur,2678980,3.65,984,75.14,253
5,Gulbarga,2566326,18.01,971,64.85,234
6,Bellary,2452595,20.99,983,67.43,290
7,Bijapur,2177331,20.5,960,67.15,207
8,Dakshina Kannada,2089649,10.11,1020,88.57,430
9,Davanagere,1945497,8.63,972,75.74,328
10,Raichur,1928812,15.51,1000,59.56,228
11,Bagalkot,1889752,14.4,989,68.82,288
12,Dharwad,1847023,15.13,971,80.0,434
13,Mandya,1805769,2.38,995,70.4,364
14,Hassan,1776421,3.18,1010,76.07,261
15,Shimoga,1752753,6.71,998,80.45,207
16,Bidar,1703300,13.37,956,70.51,313
17,Chitradurga,1659456,9.33,974,73.71,197
18,Haveri,1597668,11.02,950,77.4,331
19,Kolar,1536401,10.77,979,74.39,386
20,Uttara Kannada,1437169,6.17,979,84.06,140
21,Koppal,1389920,16.21,986,68.09,250
22,Chikkaballapura,1255104,9.23,972,69.76,296
23,Udupi,1177361,5.85,1094,86.24,329
24,Yadgir,1174271,22.81,989,51.83,223
25,Chikmagalur,1137961,-0.26,1008,79.25,158
26,Ramanagara,1082636,5.05,976,69.22,308
27,Gadag,1064570,9.54,982,75.12,229
28,Chamarajanagar,1020791,5.73,993,61.43,181
29,Bangalore Rural,990923,16.45,946,77.93,431
30,Kodagu,554519,1.09,1019,82.61,135
